id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
32647,triumph,tiger 800 xc se,2014,Super motard,3.6,799.0,95.0,In-line three,19.0,Unknown,845.0
32648,triumph,tiger 800 xc se abs,2015,Super motard,Unknown,799.0,95.0,In-line three,19.0,Unknown,845.0
32649,triumph,tiger 800 xca,2016,Super motard,3.7,799.0,95.0,In-line three,19.0,203.0,840.0
33088,um,renegade sport 140,2021,Sport,Unknown,137.8,11.0,Single cylinder,10.22,Unknown,756.0
32650,triumph,tiger 800 xca,2017,Super motard,3.7,799.0,95.0,In-line three,19.0,203.0,840.0
32651,triumph,tiger 800 xca,2018,Super motard,3.1,799.0,95.0,In-line three,19.0,208.0,840.0
32652,triumph,tiger 800 xca,2019,Super motard,Unknown,800.0,95.0,In-line three,19.0,208.0,840.0
32653,triumph,tiger 800 xca,2020,Super motard,3.8,800.0,95.0,In-line three,19.0,208.0,840.0
32654,triumph,tiger 800 xcx,2015,Super motard,3.4,799.0,95.0,In-line three,19.0,190.0,845.0
32655,triumph,tiger 800 xcx,2016,Super motard,3.6,799.0,95.0,In-line three,19.0,196.0,840.0
32656,triumph,tiger 800 xcx,2017,Super motard,3.7,799.0,95.0,In-line three,19.0,196.0,840.0
32657,triumph,tiger 800 xcx,2018,Super motard,3.4,799.0,95.0,In-line three,19.0,205.0,840.0
32658,triumph,tiger 800 xcx,2019,Super motard,Unknown,800.0,95.0,In-line three,19.0,205.0,840.0
32659,triumph,tiger 800 xcx,2020,Super motard,Unknown,800.0,95.0,In-line three,19.0,205.0,760.0
32660,triumph,tiger 800 xcx low,2016,Super motard,3.5,799.0,95.0,In-line three,19.0,196.0,790.0
32661,triumph,tiger 800 xcx low,2017,Super motard,3.5,799.0,95.0,In-line three,19.0,196.0,790.0
33089,um,renegade sport 180,2021,Sport,Unknown,180.4,16.7,Single cylinder,10.22,Unknown,756.0
32662,triumph,tiger 800 xr,2015,Super motard,Unknown,799.0,95.0,In-line three,19.0,190.0,810.0
32663,triumph,tiger 800 xr,2016,Super motard,3.3,799.0,95.0,In-line three,19.0,188.0,810.0
32664,triumph,tiger 800 xr,2017,Super motard,Unknown,799.0,95.0,In-line three,19.0,188.0,810.0
32665,triumph,tiger 800 xr,2018,Super motard,Unknown,799.0,95.0,In-line three,19.0,199.0,810.0
32666,triumph,tiger 800 xr,2019,Super motard,3.7,800.0,95.0,In-line three,19.0,199.0,810.0
32667,triumph,tiger 800 xr,2020,Super motard,Unknown,800.0,93.9,In-line three,19.0,199.0,810.0
32668,triumph,tiger 800 xrt,2016,Super motard,3.6,799.0,95.0,In-line three,19.0,190.0,810.0
32669,triumph,tiger 800 xrt,2017,Super motard,3.4,799.0,95.0,In-line three,19.0,190.0,810.0
32670,triumph,tiger 800 xrt,2018,Super motard,3.5,799.0,95.0,In-line three,19.0,202.0,810.0
32671,triumph,tiger 800 xrt,2019,Super motard,3.6,800.0,95.0,In-line three,19.0,202.0,810.0
32672,triumph,tiger 800 xrt,2020,Super motard,Unknown,800.0,95.0,In-line three,19.0,202.0,810.0
32673,triumph,tiger 800 xrx,2015,Super motard,3.3,799.0,95.0,In-line three,19.0,190.0,810.0
32674,triumph,tiger 800 xrx,2016,Super motard,3.5,799.0,95.0,In-line three,19.0,191.0,810.0
32675,triumph,tiger 800 xrx,2017,Super motard,3.5,799.0,95.0,In-line three,19.0,191.0,810.0
33090,um,renegade sport 200,2021,Sport,Unknown,196.4,15.2,Single cylinder,10.22,Unknown,756.0
32676,triumph,tiger 800 xrx,2018,Super motard,3.6,799.0,95.0,In-line three,19.0,200.0,810.0
32677,triumph,tiger 800 xrx,2019,Super motard,Unknown,800.0,95.0,In-line three,19.0,200.0,810.0
32678,triumph,tiger 800 xrx,2020,Super motard,Unknown,800.0,95.0,In-line three,19.0,200.0,810.0
32679,triumph,tiger 800 xrx low,2016,Super motard,Unknown,799.0,95.0,In-line three,19.0,191.0,760.0
32680,triumph,tiger 800 xrx low,2017,Super motard,Unknown,799.0,95.0,In-line three,19.0,191.0,760.0
32681,triumph,tiger 800 xrx low,2018,Super motard,3.4,799.0,95.0,In-line three,19.0,200.0,760.0
32682,triumph,tiger 800 xrx low,2019,Super motard,3.2,800.0,95.0,In-line three,19.0,199.0,760.0
32683,triumph,tiger 800 xrx low,2020,Super motard,Unknown,800.0,95.0,In-line three,19.0,199.0,760.0
32684,triumph,tiger 800xc,2011,Allround,4.0,799.0,94.0,In-line three,18.93,Unknown,843.0
32685,triumph,tiger 800xc,2012,Allround,4.1,799.0,94.0,In-line three,18.93,Unknown,843.0
32686,triumph,tiger 850 sport,2021,Sport,3.4,888.0,85.0,In-line three,20.0,199.0,810.0
32687,triumph,tiger 850 sport,2022,Sport,Unknown,888.0,85.0,In-line three,20.0,199.0,810.0
